Game,Black_Energy,White_Energy,Predicted_Winner,Actual_Winner
381e-gokifu-20200830-Tong_Mengcheng-Na_Hyun.sgf,51.15606936416185,48.84393063583815,B,W
381f-gokifu-20200829-He_Yuhan-Liao_Xingwen.sgf,49.586776859504134,50.413223140495866,W,B
381g-gokifu-20200829-Chen_Yaoye-Shibano_Toramaru.sgf,51.890034364261176,48.10996563573883,B,B
3822-gokifu-20200831-Lian_Xiao-Byun_Sangil.sgf,50.505050505050505,49.494949494949495,B,W
3823-gokifu-20200831-Xia_Chenkun-Cao_Xiaoyang.sgf,53.316326530612244,46.683673469387756,B,W
3824-gokifu-20200831-Yi_Lingtao-Rong_Yi.sgf,50.27624309392266,49.72375690607735,B,B
3825-gokifu-20200831-Gu_Zihao-Shin_Jinseo.sgf,48.90710382513661,51.09289617486339,W,B
3826-gokifu-20200831-Kim_Jiseok-Tong_Mengcheng.sgf,55.528255528255535,44.47174447174447,B,W
3827-gokifu-20200831-Shi_Yue-Fan_Tingyu.sgf,47.368421052631575,52.63157894736842,W,W
3828-gokifu-20200831-Ke_Jie-Tang_Weixing.sgf,47.09976798143852,52.90023201856149,W,W
3829-gokifu-20200831-Zhou_Ruiyang-Tao_Xinran.sgf,48.01980198019802,51.98019801980198,W,W
382a-gokifu-20200831-Li_Qincheng-Yang_Kaiwen.sgf,48.10126582278481,51.89873417721519,W,B
382b-gokifu-20200901-Chen_Zhengxun-He_Yuhan.sgf,52.3936170212766,47.6063829787234,B,W
382c-gokifu-20200831-Chen_Yaoye-Huang_Yunsong.sgf,47.863247863247864,52.13675213675214,W,B
382d-gokifu-20200831-Jiang_Qirun-Han_Yizhou.sgf,47.89156626506024,52.108433734939766,W,W
382e-gokifu-20200901-Ding_Hao-Kim_Jiseok.sgf,49.523809523809526,50.476190476190474,W,B
382f-gokifu-20200831-Park_Jungwhan-Yang_Dingxin.sgf,51.566951566951566,48.433048433048434,B,B
3838-gokifu-20200901-Tong_Mengcheng-Park_Jungwhan.sgf,50.308641975308646,49.691358024691354,B,W
3839-gokifu-20200901-Huang_Xin-Ke_Jie.sgf,51.35135135135135,48.64864864864865,B,W
383a-gokifu-20200901-Yang_Dingxin-Xie_Erhao.sgf,53.13653136531366,46.86346863468634,B,W
383b-gokifu-20200901-Cao_Xiaoyang-Lian_Xiao.sgf,49.08424908424908,50.91575091575091,W,W
383c-gokifu-20200901-Wang_Zejin-Li_Xuanhao.sgf,52.42718446601942,47.57281553398058,B,B
383d-gokifu-20200901-Gu_Lingyi-Zhang_Tao.sgf,48.93617021276596,51.06382978723404,W,W
383t-gokifu-20200909-Ichiriki_Ryo-An_Sungjoon.sgf,51.43678160919541,48.56321839080459,B,B
383u-gokifu-20200908-Hsu_Chiayuan-Dang_Yifei.sgf,51.93370165745856,48.06629834254144,B,B
383v-gokifu-20200909-Tao_Xinran-Tang_Weixing.sgf,48.39449541284404,51.60550458715596,W,B
383w-gokifu-20200909-Gu_Zihao-Kono_Rin.sgf,51.344086021505376,48.655913978494624,B,B
383x-gokifu-20200908-Gu_Zihao-Iyama_Yuuta.sgf,47.41379310344828,52.58620689655172,W,B
383y-gokifu-20200909-Ke_Jie-Jiang_Weijie.sgf,51.44356955380578,48.55643044619423,B,B
383z-gokifu-20200908-Ke_Jie-Dang_Yifei.sgf,49.53560371517028,50.464396284829725,W,B
3840-gokifu-20200908-Shin_Jinseo-Xie_Erhao.sgf,49.60835509138381,50.391644908616186,W,B
3841-gokifu-20200908-Shibano_Toramaru-Yang_Dingxin.sgf,48.775510204081634,51.22448979591837,W,W
3842-gokifu-20200908-Kono_Rin-Lin_Lixiang.sgf,53.216374269005854,46.783625730994146,B,B
385i-gokifu-20200911-Ichiriki_Ryo-Tao_Xinran.sgf,49.34210526315789,50.6578947368421,W,B
385j-gokifu-20200911-Xie_Ke-Ke_Jie.sgf,50.59101654846335,49.40898345153664,B,B
385n-gokifu-20200615-Li_Xuanhao-Mi_Yuting.sgf,45.751633986928105,54.248366013071895,W,W
385p-gokifu-20200416-Iyama_Yuuta-Shibano_Toramaru.sgf,51.71339563862928,48.28660436137071,B,B
